homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Arsenal,Leicester,4,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,13.0,1,13,nan,nan,nan,nan,nan,nan,1.53,4.55,6.85,1.49,4.73,7.25
Brighton,Man City,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,19.0,2,19,nan,nan,nan,nan,nan,nan,10.95,5.55,1.34,11.75,6.15,1.29
Chelsea,Burnley,2,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,13.0,4,13,nan,nan,nan,nan,nan,nan,1.26,6.3,15.25,1.33,5.4,12.25
Crystal Palace,Huddersfield,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,18.0,6,18,nan,nan,nan,nan,nan,nan,1.83,3.58,5.11,1.79,3.56,5.51
Everton,Stoke,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,17.0,8,17,nan,nan,nan,nan,nan,nan,1.7,3.83,5.81,1.82,3.49,5.42
Southampton,Swansea,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,18.0,9,18,nan,nan,nan,nan,nan,nan,1.64,3.94,6.35,1.56,4.25,6.85
Watford,Liverpool,3,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,17.0,11,17,nan,nan,nan,nan,nan,nan,5.74,4.29,1.63,6.88,4.27,1.56
West Brom,Bournemouth,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,16.0,13,16,nan,nan,nan,nan,nan,nan,2.46,3.25,3.26,2.65,3.21,3.02
Man United,West Ham,4,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,20.0,14,20,nan,nan,nan,nan,nan,nan,1.33,5.68,10.85,1.31,5.79,12.01
Newcastle,Tottenham,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,19.0,15,19,nan,nan,nan,nan,nan,nan,5.35,4.0,1.71,4.82,3.9,1.8
