homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Dortmund,Werder Bremen,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-15,nan,nan,nan,1.32,5.88,10.8,1.29,6.37,11.2
Augsburg,Fortuna Dusseldorf,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-9,nan,nan,nan,2.08,3.52,3.92,2.08,3.45,4.01
Ein Frankfurt,Leverkusen,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-9,nan,nan,nan,3.05,3.54,2.44,2.99,3.54,2.48
Freiburg,Mainz,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-6,nan,nan,nan,2.62,3.41,2.9,2.78,3.45,2.71
Greuther Furth,Bayern Munich,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-10,nan,nan,nan,8.69,5.09,1.41,8.65,4.76,1.44
Hamburg,Nurnberg,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-6,nan,nan,nan,2.18,3.34,3.82,2.4,3.39,3.26
M'gladbach,Hoffenheim,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-3,nan,nan,nan,2.03,3.61,3.98,1.98,3.58,4.24
Stuttgart,Wolfsburg,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-6,nan,nan,nan,2.01,3.65,4.0,1.98,3.79,3.98
Hannover,Schalke 04,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-3,nan,nan,nan,2.96,3.52,2.51,3.7,3.66,2.09
Mainz,Greuther Furth,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-1,-3,nan,nan,nan,1.86,3.7,4.7,1.85,3.67,4.8
Fortuna Dusseldorf,M'gladbach,0,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-2,1,nan,nan,nan,3.2,3.41,2.41,3.38,3.29,2.38
Hoffenheim,Ein Frankfurt,0,4,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,12,nan,nan,nan,2.08,3.6,3.82,2.42,3.37,3.22
Leverkusen,Freiburg,2,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,8,nan,nan,nan,1.63,4.2,5.85,1.6,4.3,6.2
Nurnberg,Dortmund,1,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,3,nan,nan,nan,6.17,4.25,1.61,5.15,3.92,1.75
Schalke 04,Augsburg,3,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,-1,nan,nan,nan,1.4,5.1,9.05,1.37,5.19,9.94
Werder Bremen,Hamburg,2,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,3,nan,nan,nan,1.76,3.97,4.97,1.88,3.83,4.38
Bayern Munich,Stuttgart,6,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,-7,nan,nan,nan,1.29,6.31,11.87,1.28,6.41,12.39
Wolfsburg,Hannover,0,4,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,-2,nan,nan,nan,2.0,3.76,3.92,1.94,3.77,4.16
Augsburg,Wolfsburg,0,0,9,0.0,0.2369,0.7631,-0.08000000000000004,0.8,0.28,0.5,0.0,0.5,-1.0,5,3,-0.33333333333333304,-0.07692307692307693,0.2222222222222222,2.82,3.53,2.61,2.44,3.73,2.92
Bayern Munich,Mainz,3,1,9,0.8271,0.0334,0.0146,0.58,0.4,0.020000000000000018,0.5,0.0,0.5,0.6666666666666667,-3,-13,-1.4358974358974357,0.25,0.01785714285714285,1.2,7.64,18.02,1.27,6.19,14.54
Dortmund,Leverkusen,3,0,9,0.8295,0.0961,0.0511,0.35874999999999996,0.3500000000000001,0.29124999999999995,0.5,0.0,0.5,1.0,-15,-8,1.2666666666666666,0.05263157894736842,0.0,1.5,4.59,7.5,1.53,4.55,6.81
Greuther Furth,Schalke 04,0,2,9,0.0,0.0105,0.9464,0.2849999999999999,0.30000000000000004,0.41500000000000004,0.5,0.0,0.5,-0.3333333333333333,2,2,0.8571428571428572,-0.13333333333333333,-0.06432748538011696,4.09,3.6,2.01,3.99,3.69,2.0
Hannover,Werder Bremen,3,2,9,0.6703,0.1362,0.1363,0.41500000000000004,0.30000000000000004,0.2849999999999999,0.5,0.0,0.5,0.3333333333333333,-8,-6,1.1666666666666665,0.1222222222222222,0.028070175438596495,2.35,3.64,3.12,2.25,3.64,3.31
M'gladbach,Nurnberg,2,3,9,0.0,0.4677,0.5323,0.35,0.30000000000000004,0.35,0.5,0.0,0.5,0.0,-2,-2,0.08333333333333348,0.23015873015873015,0.07142857142857142,1.99,3.53,4.27,1.93,3.54,4.58
Stuttgart,Fortuna Dusseldorf,0,0,9,0.0,0.2187,0.7813,-0.11374999999999996,0.65,0.46374999999999994,0.5,0.0,0.5,-1.0,8,9,-0.25,-0.2222222222222222,0.07692307692307693,1.68,4.06,5.6,1.71,3.91,5.53
Ein Frankfurt,Hamburg,3,2,9,0.9438,0.0528,0.0,0.625,0.5,-0.125,0.5,0.0,0.5,1.0,-10,-11,2.25,0.1,-0.07236842105263158,2.07,3.61,3.84,1.72,4.33,4.65
Freiburg,Hoffenheim,5,3,9,0.5411,0.2656,0.1928,0.145,0.9,-0.04500000000000001,0.5,0.0,0.5,0.3333333333333333,-6,-4,0.25,0.053571428571428575,-0.1607142857142857,2.45,3.5,3.06,2.22,3.59,3.43
