homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Montpellier,Toulouse,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,16.0,1,16,nan,nan,nan,nan,nan,nan,1.89,3.36,5.02,2.15,3.17,4.16
Evian Thonon Gaillard,Bordeaux,2,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,19.0,3,19,nan,nan,nan,nan,nan,nan,2.93,3.25,2.66,3.29,3.13,2.52
Nancy,Brest,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,15.0,5,15,nan,nan,nan,nan,nan,nan,2.16,3.21,3.99,1.89,3.34,5.19
Nice,Ajaccio,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,19.0,6,19,nan,nan,nan,nan,nan,nan,1.97,3.32,4.62,2.19,3.18,4.01
Paris SG,Lorient,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,17.0,8,17,nan,nan,nan,nan,nan,nan,1.36,5.13,10.67,1.37,5.18,10.5
Rennes,Lyon,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,18.0,10,18,nan,nan,nan,nan,nan,nan,2.54,3.29,3.06,2.06,3.31,4.23
Sochaux,Bastia,2,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,17.0,12,17,nan,nan,nan,nan,nan,nan,2.39,3.19,3.38,3.05,3.04,2.76
St Etienne,Lille,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,17.0,14,17,nan,nan,nan,nan,nan,nan,3.07,3.17,2.61,2.99,3.3,2.61
Troyes,Valenciennes,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,19.0,16,19,nan,nan,nan,nan,nan,nan,2.6,3.08,3.17,2.5,3.16,3.29
Reims,Marseille,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,20.0,18,20,nan,nan,nan,nan,nan,nan,3.61,3.26,2.27,3.6,3.35,2.25
Lille,Nancy,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,12.0,2,1,nan,nan,nan,nan,nan,nan,1.48,4.3,8.94,1.51,4.21,8.42
Bastia,Reims,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,19.0,3,19,nan,nan,nan,nan,nan,nan,1.72,3.66,5.97,1.7,3.65,6.35
Brest,Evian Thonon Gaillard,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,12.0,20,13,nan,nan,nan,nan,nan,nan,2.55,3.1,3.27,2.54,3.08,3.29
Lorient,Montpellier,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,11.0,12,10,nan,nan,nan,nan,nan,nan,2.8,3.11,2.93,3.02,3.21,2.65
Lyon,Troyes,4,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,18.0,6,19,nan,nan,nan,nan,nan,nan,1.45,4.66,8.67,1.45,4.51,9.05
Toulouse,St Etienne,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,17.0,13,18,nan,nan,nan,nan,nan,nan,2.22,3.08,3.99,2.35,3.22,3.48
Valenciennes,Nice,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,13.0,8,15,nan,nan,nan,nan,nan,nan,1.99,3.32,4.62,1.79,3.42,5.86
Ajaccio,Paris SG,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,18,14.0,9,14,nan,nan,nan,nan,nan,nan,6.55,3.83,1.65,5.94,3.84,1.69
Bordeaux,Rennes,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,19,15.0,10,16,nan,nan,nan,nan,nan,nan,2.1,3.28,4.14,2.29,3.32,3.52
Marseille,Sochaux,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,20,16.0,11,17,nan,nan,nan,nan,nan,nan,1.48,4.42,8.38,1.43,4.59,9.94
Evian Thonon Gaillard,Lyon,1,1,8,0.0,0.0498,0.9464,-0.125,0.5,0.625,0.5,0.0,0.5,0.0,1.0,14,3.0,15,2,3.0,4.5,0.2222222222222222,0.1111111111111111,0.25,0.0,3.8,3.32,2.17,3.92,3.47,2.09
Nancy,Toulouse,0,1,8,0.5683,0.4317,0.0,0.34375,0.25,0.40625,0.5,0.0,0.5,1.0,0.3333333333333333,1,12.0,5,8,2.2,4.0,0.09090909090909091,0.08333333333333333,0.0,0.1111111111111111,2.44,3.08,3.45,2.27,3.09,3.81
Nice,Lille,2,2,8,0.0,0.1353,0.8644,0.1,0.5,0.4,0.5,0.0,0.5,0.0,1.0,15,3.0,15,7,4.0,2.5,0.0,0.2,0.3333333333333333,0.1111111111111111,3.95,3.15,2.2,3.51,3.24,2.31
Reims,Sochaux,1,0,8,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,20,16.0,20,17,3.5,2.5,0.0,0.0,0.058823529411764705,0.08695652173913043,2.15,3.23,3.91,2.11,3.4,3.89
Rennes,Bastia,3,2,8,0.0,0.0498,0.9464,-0.125,0.5,0.625,0.5,0.0,0.5,0.0,1.0,17,4.0,17,3,6.0,1.4285714285714286,0.0,0.3,0.1111111111111111,0.2,1.92,3.43,4.8,1.81,3.5,5.4
Troyes,Lorient,2,2,8,0.0,0.1353,0.8644,-0.12000000000000005,0.6,0.52,0.5,0.0,0.5,0.0,0.3333333333333333,20,12.0,20,8,4.0,2.0,0.0,0.16666666666666666,0.2,0.1,2.75,3.12,2.92,2.59,3.14,3.11
Valenciennes,Ajaccio,3,0,8,0.0,1.0,0.0,0.35,0.30000000000000004,0.35,0.5,0.0,0.5,0.3333333333333333,1.0,17,6.0,9,10,1.3333333333333333,1.5,0.0,0.3333333333333333,0.0,0.0,1.88,3.39,5.05,1.85,3.47,5.12
Montpellier,Marseille,0,1,8,0.0,0.3813,0.6187,0.020000000000000018,0.4,0.58,0.5,0.0,0.5,0.3333333333333333,1.0,12,8.0,16,6,4.5,2.125,0.1111111111111111,0.058823529411764705,0.08333333333333333,0.0,2.38,3.21,3.4,2.54,3.09,3.24
Paris SG,Bordeaux,0,0,8,0.0715,0.0606,0.3521,0.21875,0.25,0.53125,0.5,0.0,0.5,0.3333333333333333,1.0,15,8.0,15,6,2.2222222222222223,1.3333333333333333,0.1,0.25,0.16666666666666666,0.2222222222222222,1.59,3.94,6.93,1.6,3.87,7.32
St Etienne,Brest,4,0,8,0.5276,0.4724,0.0,-0.10499999999999998,0.7,0.405,0.5,0.0,0.5,0.0,0.0,20,20.0,20,14,2.25,2.0,0.1111111111111111,0.0,0.2,0.09090909090909091,1.66,3.65,6.66,1.59,3.77,7.6
Ajaccio,Evian Thonon Gaillard,2,0,9,0.0,1.0,0.0,0.221271875,0.6975,0.081228125,0.5,0.0,0.5,0.3333333333333333,0.0,19,14.0,10,18,5.0,2.6666666666666665,0.0,0.0,0.0,0.06666666666666667,2.41,3.16,3.41,2.41,3.18,3.38
Bastia,St Etienne,0,3,9,0.7474,0.1328,0.0975,0.2888875,0.505,0.20611249999999998,0.5,0.0,0.5,1.0,0.0,7,17.0,7,13,3.0,2.2,0.2222222222222222,0.09090909090909091,0.3333333333333333,0.2222222222222222,2.45,3.2,3.28,2.52,3.27,3.1
Brest,Troyes,2,1,9,0.9464,0.0498,0.0,0.18493750000000003,0.725,0.0900625,0.5,0.0,0.5,1.0,0.0,8,18.0,15,19,3.75,3.0,0.06666666666666667,0.16666666666666666,0.0,0.16666666666666666,2.24,3.08,3.94,2.43,3.03,3.53
Lorient,Nancy,3,0,9,0.4788,0.2591,0.2608,0.362828125,0.47750000000000004,0.15967187499999996,0.5,0.0,0.5,1.0,0.3333333333333333,9,11.0,11,12,4.0,5.0,0.16666666666666666,0.2,0.16666666666666666,0.08333333333333333,2.07,3.21,4.35,1.99,3.33,4.49
Lyon,Valenciennes,3,2,9,0.0,0.3554,0.6446,0.382215625,0.2025,0.415284375,0.5,0.0,0.5,1.0,1.0,10,8.0,3,5,2.4,5.0,0.16666666666666666,0.2,0.16666666666666666,0.0,1.65,3.91,6.14,1.75,3.65,5.56
Sochaux,Montpellier,1,3,9,0.33,0.1507,0.3556,-0.02598749999999997,0.945,0.08098750000000002,0.5,0.0,0.5,0.0,0.0,20,14.0,20,17,2.0,1.5,0.2,0.16666666666666666,0.3,0.16666666666666666,3.85,3.21,2.19,4.76,3.33,1.94
Toulouse,Reims,1,1,9,0.7474,0.1328,0.0975,0.4774,0.33999999999999997,0.18260000000000004,0.5,0.0,0.5,1.0,0.0,11,19.0,4,16,1.2857142857142858,1.5,0.2222222222222222,0.3333333333333333,0.09090909090909091,0.2222222222222222,1.7,3.59,6.34,1.6,3.77,7.45
Bordeaux,Nice,1,1,9,0.0,1.0,0.0,0.425665625,0.4225,0.15183437500000002,0.5,0.0,0.5,1.0,0.3333333333333333,12,13.0,7,17,2.5,2.75,0.1,0.0,0.0,0.0,1.66,3.64,6.75,1.59,3.84,7.42
Lille,Paris SG,1,2,9,0.0,1.0,0.0,0.314875,0.44999999999999996,0.23512500000000003,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,19,14.0,11,16,3.0,2.3333333333333335,0.08333333333333333,0.0,0.2,0.0,2.87,3.35,2.6,2.91,3.31,2.63
Marseille,Rennes,3,1,9,0.759,0.241,0.0,0.5341875,0.28500000000000003,0.18081249999999996,0.5,0.0,0.5,1.0,0.0,13,17.0,2,17,3.8333333333333335,3.6666666666666665,0.08695652173913043,0.0,0.0,0.1,1.99,3.31,4.54,2.02,3.38,4.28
Paris SG,Toulouse,2,0,9,0.1356,0.376,0.4883,0.34656250000000005,0.2749999999999999,0.37843750000000004,0.22375,0.35,0.42625,0.4,0.8,14,5.0,8,4,2.736111111111111,3.0,0.05,0.09166666666666667,0.08333333333333333,0.05555555555555555,1.46,4.48,8.58,1.5,4.25,8.61
Reims,Montpellier,3,1,9,0.2004,0.3619,0.4377,0.25656249999999997,0.525,0.2184375,0.3,0.4,0.3,0.6,0.6,13,7.0,15,13,4.0,2.25,0.05555555555555555,0.25,0.029411764705882353,0.12878787878787878,3.62,3.14,2.32,4.03,3.2,2.17
Evian Thonon Gaillard,Bastia,3,0,9,0.1118,0.0913,0.4844,0.04593750000000002,0.7749999999999999,0.17906250000000007,0.13374999999999998,0.65,0.21625,0.2,0.6,16,9.0,18,11,4.5,1.4642857142857144,0.1388888888888889,0.26111111111111107,0.175,0.2153846153846154,2.39,3.3,3.28,2.54,3.42,2.99
Nice,Brest,4,2,9,0.8161,0.1839,0.0,0.20718749999999997,0.475,0.31781250000000005,0.21375000000000002,0.85,-0.06375,0.2,0.0,17,20.0,17,12,2.7857142857142856,1.0,0.09090909090909091,0.0,0.26666666666666666,0.2676767676767677,2.07,3.2,4.35,1.96,3.25,4.91
